Corner,Temp_C,VDD_V,Gain_dB,UGF_MHz,PhaseMargin_deg,CMRR_dB,PSRR_dB,Noise_nV_rtHz,Core_Current_uA,Total_Current_uA,Core_Power_uW,Total_Power_uW,NEF_Core,NEF_Sys,PEF_Core,PEF_Sys,Power_uW,NEF,PEF
SF,-40,0.6,68.78,2.098,65.9,107.8,87.5,20.4,3.4,3.63,2.04,2.18,1.66,1.89,1.66,2.15,2.18,1.66,1.66
SF,-40,0.65,69.53,2.273,65.9,107.7,87.3,20.4,3.69,3.94,2.4,2.56,1.66,1.89,1.79,2.33,2.56,1.66,1.79
SF,27,0.55,65.35,1.317,67.9,107.5,87.9,23.2,3.12,3.33,1.72,1.83,1.77,2.02,1.72,2.24,1.83,1.77,1.72
SF,27,0.6,66.1,1.436,67.9,107.8,87.5,23.2,3.4,3.63,2.04,2.18,1.77,2.02,1.88,2.44,2.18,1.77,1.88
SF,27,0.65,66.85,1.556,67.9,107.6,87.5,23.2,3.69,3.94,2.4,2.56,1.77,2.02,2.04,2.64,2.56,1.77,2.04
SF,85,0.55,63.03,1.01,69.6,108.0,87.4,25.3,3.12,3.33,1.72,1.83,1.85,2.11,1.88,2.44,1.83,1.85,1.88
SF,85,0.6,63.78,1.102,69.6,107.6,87.4,25.3,3.4,3.63,2.04,2.18,1.85,2.11,2.05,2.66,2.18,1.85,2.05
SF,85,0.65,64.53,1.194,69.6,107.6,87.9,25.3,3.69,3.94,2.4,2.56,1.85,2.11,2.22,2.89,2.56,1.85,2.22
FS,-40,0.55,70.03,1.472,66.8,109.5,89.1,23.4,2.39,2.55,1.31,1.4,1.45,1.66,1.16,1.51,1.4,1.45,1.16
FS,-40,0.6,70.78,1.606,66.8,109.3,88.6,23.4,2.6,2.78,1.56,1.67,1.45,1.66,1.27,1.64,1.67,1.45,1.27
FS,-40,0.65,71.53,1.739,66.8,109.2,88.6,23.4,2.82,3.01,1.83,1.96,1.45,1.66,1.37,1.78,1.96,1.45,1.37
FS,27,0.55,67.35,1.008,68.8,109.2,89.0,26.5,2.39,2.55,1.31,1.4,1.55,1.76,1.32,1.71,1.4,1.55,1.32
FS,27,0.6,68.1,1.099,68.8,109.2,88.5,26.5,2.6,2.78,1.56,1.67,1.55,1.76,1.44,1.87,1.67,1.55,1.44
FS,27,0.65,68.85,1.191,68.8,109.2,88.7,26.5,2.82,3.01,1.83,1.96,1.55,1.76,1.56,2.02,1.96,1.55,1.56
FS,85,0.55,65.03,0.773,70.6,109.3,88.5,29.0,2.39,2.55,1.31,1.4,1.62,1.84,1.44,1.87,1.4,1.62,1.44
FS,85,0.6,65.78,0.843,70.6,109.4,88.6,29.0,2.6,2.78,1.56,1.67,1.62,1.84,1.57,2.04,1.67,1.62,1.57
FS,85,0.65,66.53,0.914,70.6,108.9,88.9,29.0,2.82,3.01,1.83,1.96,1.62,1.84,1.7,2.21,1.96,1.62,1.7
